"index","op","name","z","type","value","probability"
51,"R_Date","NW10",,"likelihood",-3274.5,1.9503e-7
51,"R_Date","NW10",,"likelihood",-3269.5,1.2619e-7
51,"R_Date","NW10",,"likelihood",-3264.5,1.6061e-7
51,"R_Date","NW10",,"likelihood",-3259.5,0.000001434
51,"R_Date","NW10",,"likelihood",-3254.5,0.000005541
51,"R_Date","NW10",,"likelihood",-3249.5,0.000001434
51,"R_Date","NW10",,"likelihood",-3244.5,7.572e-7
51,"R_Date","NW10",,"likelihood",-3239.5,1.0325e-7
51,"R_Date","NW10",,"likelihood",-3234.5,1.1472e-8
51,"R_Date","NW10",,"likelihood",-3229.5,1.1472e-8
51,"R_Date","NW10",,"likelihood",-3224.5,0
